fips,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,water_need
00001,45.12,-0.45,120,0.5,0.3,0.2,0.4,0.6,0.3,0.2,0.5,25,25,25,25,0,5,10,5,20,10,20,20,10,75,70,65,60,55,50,45,42.5
00002,45.15,-0.48,115,0.4,0.5,0.3,0.2,0.4,0.5,0.3,0.4,30,20,30,20,0,3,8,7,25,12,18,22,13,80,75,70,65,60,55,50,38.2
00003,45.18,-0.52,125,0.6,0.4,0.5,0.3,0.5,0.4,0.4,0.6,20,30,20,30,0,4,12,6,18,15,22,18,15,70,65,60,55,50,45,40,45.8
00004,45.22,-0.55,110,0.3,0.2,0.4,0.5,0.3,0.2,0.5,0.3,25,25,25,25,0,6,9,8,22,11,19,21,11,72,68,63,58,53,48,43,41.3
00005,45.25,-0.58,130,0.5,0.6,0.3,0.4,0.6,0.5,0.3,0.5,28,22,28,22,0,5,11,5,20,13,21,19,12,78,73,68,63,58,53,48,39.7
00006,45.28,-0.62,118,0.4,0.3,0.5,0.2,0.4,0.3,0.4,0.4,26,24,26,24,0,4,10,6,21,14,20,20,10,76,71,66,61,56,51,46,40.5
00007,45.32,-0.65,122,0.6,0.5,0.4,0.6,0.5,0.6,0.5,0.6,22,28,22,28,0,7,13,7,19,16,23,17,14,68,63,58,53,48,43,38,47.2
00008,45.35,-0.68,127,0.3,0.4,0.2,0.3,0.3,0.4,0.2,0.3,27,23,27,23,0,5,9,5,23,12,18,22,11,74,69,64,59,54,49,44,40.8
00009,45.38,-0.72,113,0.5,0.3,0.6,0.4,0.5,0.3,0.6,0.5,24,26,24,26,0,6,11,8,20,15,21,19,13,77,72,67,62,57,52,47,39.4
00010,45.42,-0.75,135,0.4,0.6,0.3,0.5,0.4,0.6,0.3,0.4,29,21,29,21,0,4,12,6,18,17,22,18,15,71,66,61,56,51,46,41,44.6
00011,45.45,-0.78,121,0.6,0.4,0.5,0.3,0.6,0.4,0.5,0.6,23,27,23,27,0,5,10,7,22,13,19,21,12,75,70,65,60,55,50,45,42.1
00012,45.48,-0.82,116,0.3,0.5,0.2,0.4,0.3,0.5,0.2,0.3,26,24,26,24,0,6,9,5,21,14,20,20,11,79,74,69,64,59,54,49,38.9
00013,45.52,-0.85,128,0.5,0.3,0.4,0.6,0.5,0.3,0.4,0.5,25,25,25,25,0,4,11,6,19,16,21,19,14,73,68,63,58,53,48,43,43.3
00014,45.55,-0.88,124,0.4,0.6,0.3,0.2,0.4,0.6,0.3,0.4,28,22,28,22,0,5,12,7,20,15,22,18,13,76,71,66,61,56,51,46,41.7
00015,45.58,-0.92,119,0.6,0.4,0.5,0.5,0.6,0.4,0.5,0.6,21,29,21,29,0,7,10,8,18,17,23,17,15,69,64,59,54,49,44,39,46.5
00016,45.62,-0.95,132,0.3,0.2,0.4,0.3,0.3,0.2,0.4,0.3,27,23,27,23,0,5,9,5,22,12,18,22,10,77,72,67,62,57,52,47,39.2
